Availability Replica,Flow Control Time (ms/sec),counter,AvailabilityReplica_FlowControlTime_ms_over_sec
Availability Replica,Flow Control/sec,counter,AvailabilityReplica_FlowControl_over_sec
Availability Replica,Receives from Replica/sec,counter,AvailabilityReplica_ReceivesfromReplica_over_sec
Availability Replica,Resent Messages/sec,counter,AvailabilityReplica_ResentMessages_over_sec
Availability Replica,Sends to Replica/sec,counter,AvailabilityReplica_SendstoReplica_over_sec
Availability Replica,Sends to Transport/sec,counter,AvailabilityReplica_SendstoTransport_over_sec
Batch Resp Statistics,Batches >=000000ms & <000001ms,gauge,BatchRespStatistics_Batches_ge_000000ms_lt_000001ms
Batch Resp Statistics,Batches >=000001ms & <000002ms,gauge,BatchRespStatistics_Batches_ge_000001ms_lt_000002ms
Batch Resp Statistics,Batches >=000002ms & <000005ms,gauge,BatchRespStatistics_Batches_ge_000002ms_lt_000005ms
Batch Resp Statistics,Batches >=000005ms & <000010ms,gauge,BatchRespStatistics_Batches_ge_000005ms_lt_000010ms
Batch Resp Statistics,Batches >=000010ms & <000020ms,gauge,BatchRespStatistics_Batches_ge_000010ms_lt_000020ms
Batch Resp Statistics,Batches >=000020ms & <000050ms,gauge,BatchRespStatistics_Batches_ge_000020ms_lt_000050ms
Batch Resp Statistics,Batches >=000050ms & <000100ms,gauge,BatchRespStatistics_Batches_ge_000050ms_lt_000100ms
Batch Resp Statistics,Batches >=000100ms & <000200ms,gauge,BatchRespStatistics_Batches_ge_000100ms_lt_000200ms
Batch Resp Statistics,Batches >=000200ms & <000500ms,gauge,BatchRespStatistics_Batches_ge_000200ms_lt_000500ms
Batch Resp Statistics,Batches >=000500ms & <001000ms,gauge,BatchRespStatistics_Batches_ge_000500ms_lt_001000ms
Batch Resp Statistics,Batches >=001000ms & <002000ms,gauge,BatchRespStatistics_Batches_ge_001000ms_lt_002000ms
Batch Resp Statistics,Batches >=002000ms & <005000ms,gauge,BatchRespStatistics_Batches_ge_002000ms_lt_005000ms
